Município,Valor
OLINDA,6.359462243872658e-05
ARARAS,0.00018449367555680192
IJUI,0.00023876605701733441
SAO SEBASTIAO,0.0004957713619130942
BRUSQUE,0.00023967056191852653
ITABUNA,9.359571331633012e-05
VALENCA,0.0002471737631554983
JAU,0.00019093895879010542
CARAPICUIBA,4.4644739485543785e-05
CASTANHAL,8.856044988708542e-05
VOTUPORANGA,0.00020977994084205669
ARAGUAINA,0.00011996880810989142
PINDAMONHANGABA,0.00014106693626125596
TUBARAO,0.00028189660032700004
COLOMBO,7.301046483329277e-05
TERESOPOLIS,0.00011940946591402518
JI-PARANA,0.00017691082925028268
APUCARANA,0.00019084809959334675
LUCAS DO RIO VERDE,0.00031055900621118014
PATOS DE MINAS,0.00016928736530260116
SOBRAL,9.017089758009787e-05
JUAZEIRO,9.167499381193791e-05
ANGRA DOS REIS,0.00012074728077123703
GUAIRA,0.000570399279495647
ALTAMIRA,0.0001379679052160491
BARBACENA,0.00015194929235043847
SINOP,0.00017122701277353517
BRASILIA (GAMA),0.7142857142857143
NILOPOLIS,7.990509733055509e-05
CATANDUVA,0.00020408663069299655
ARAPIRACA,8.152861869065038e-05
MARACANAU,6.972953656006764e-05
SERTAOZINHO,0.0053055610139516604
PARANAGUA,0.0001344654039724922
VINHEDO,0.000312067007027749
TEIXEIRA DE FREITAS,0.00011696770460114012
SANTA BARBARA D'OESTE,0.00013375173620042182
PAULINIA,0.0002767783005812344
ALAGOINHAS,8.534271665561588e-05
BAGE,0.00014834961058227223
GUARAPARI,0.00012628156052438418
ITAPETININGA,0.0001510336744680594
ARAPONGAS,0.00018428010576075634
CACADOR,0.0001765158296874409
SAO GONCALO DO AMARANTE,0.00024555444146596
TRINDADE,0.0003894080996884735
REDENCAO,0.0005489604062307006
ITABAIANA,0.0004504688971702363
SANTANA,0.00041190788241902266
BALSAS,0.00011466813997852578
CAUCAIA,3.0119492240123544e-05
BARRA MANSA,8.656462861069181e-05
URUGUAIANA,0.00013399965317736825
ALVORADA,0.0015483563601715103
LINHARES,0.0001301729602463099
VIANA,0.0002279245569716424
LINS,0.0002802440671057157
SANTA ROSA,0.00027183146449201494
LAJEADO,0.008209662140827282
JOACABA,0.0005920273648204184
PAULISTA,0.0015348574198238954
ITAJUBA,0.000267121458072205
CUBATAO,0.00021272392992265966
ITATIBA,0.00017947316468294435
PAULO AFONSO,9.281447230753653e-05
BRASILIA (SOBRADINHO),0.8181818181818182
SAPUCAIA DO SUL,7.756967166873519e-05
CONCORDIA,0.0003458964705256296
ILHEUS,0.0001250601852141343
MOGI-MIRIM,0.75
CAMPO MOURAO,0.00027228552278820377
COLATINA,0.00014586709886547813
CAPANEMA,0.0007311468560685189
GUARATINGUETA,0.0002285620995061426
TATUI,0.00017890978880512657
ITABORAI,5.772172357066582e-05
PINHAIS,0.00011985916548056034
RIO DAS OSTRAS,7.732307513869826e-05
PARNAIBA,7.16696420427151e-05
OURINHOS,0.00018364348677766894
BEBEDOURO,0.0002707755786216234
PIRASSUNUNGA,0.0003121870000130078
ARARUAMA,0.00010424966305019621
UMUARAMA,0.0002488888888888889
ASSIS,0.0002188662727073758
BONITO,0.0006049606775559589
SORRISO,0.00021558925934309954
SANTA RITA,0.00031333228889237035
PORTO SEGURO,8.628814931832363e-05
PARNAMIRIM,0.0006785488102777526
FARROUPILHA,0.000273743857872189
ARUJA,0.00020843160700769004
CACHOEIRA DO SUL,0.00020764880479790885
CABO DE SANTO AGOSTINHO,7.178957041121066e-05
PASSOS,0.00018207513633959613
GARANHUNS,0.00012804370558483963
RIBEIRAO DAS NEVES,4.4352847600658786e-05
SAO GABRIEL,0.0007451168236734259
IPOJUCA,0.00014334128536178318
ITUMBIARA,0.0002173728132767534
ITAPECERICA DA SERRA,7.88013193592327e-05
ALEGRETE,0.0001506271567070165
JABOTICABAL,0.00025755936743419356
CAJAMAR,0.0003207842533425719
SARANDI,0.0006865080967572588
VICOSA,0.009855072463768115
MARICA,7.29465544910762e-05
QUEIMADOS,6.60785674166584e-05
TRES LAGOAS,0.00018656565083021714
SAO SIMAO,0.0007149821254468638
JATAI,0.00011757213540390927
SANTO ANGELO,0.00023205445544554454
ITAGUAI,7.417352153628198e-05
BIRIGUI,0.00016815739532202143
VOTORANTIM,0.00012136020517965356
CRUZ ALTA,0.00030039050765995795
VERA CRUZ,0.0012011457082139888
